entity_id,dailyEnergyConsumed,observedAt,unit
urn:ngsi-ld:EnergyDevice:Mailroom:WaterDispenser,0.113407407,2024-01-05T20:48:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,0.574,2024-01-05T20:48:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,0.694366667,2024-01-06T08:12:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,0.694366667,2024-01-06T08:12:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,0.725777778,2024-01-05T20:48:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,0.665710526,2024-01-06T08:12:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,0.665710526,2024-01-06T08:12:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:Kettle,0.743785714,2024-01-06T08:12:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,0.5241,2024-01-06T08:12:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,0.5241,2024-01-06T08:12:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Lab:Desktop,0,2024-01-04T22:00:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Lab:Desktop,0.081666667,2024-01-06T08:12:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Lab:Desktop,0.081666667,2024-01-06T08:12:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Lab:Printer,0.64184,2024-01-05T20:48:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Lab:Printer,0.61676087,2024-01-06T08:12:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Mailroom:WaterDispenser,0.113407407,2024-01-05T20:48:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Mailroom:WaterDispenser,0.10562963,2024-01-06T08:12:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Mailroom:WaterDispenser,0.10562963,2024-01-06T08:12:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,0.694366667,2024-01-06T08:12:00.000Z,KWH
