entity_id,apparentPower,observedAt,unit
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,6.396825397,2024-01-05T09:24:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,75.942528736,2024-01-04T22:00:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,75.942528736,2024-01-04T22:00:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,60.064102564,2024-01-05T09:24:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:Kettle,0,2024-01-09T12:00:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,10.977186312,2024-01-04T22:00:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,10.403508772,2024-01-05T09:24:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Lab:Printer,32.574074074,2024-01-04T22:00:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Lab:Printer,32.574074074,2024-01-04T22:00:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Lab:Printer,32.35483871,2024-01-05T09:24:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Mailroom:WaterDispenser,35.09009009,2024-01-04T22:00:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Mailroom:WaterDispenser,35.09009009,2024-01-04T22:00:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Mailroom:WaterDispenser,34.796296296,2024-01-05T09:24:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,6.396825397,2024-01-05T09:24:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,6.396825397,2024-01-05T09:24:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,6.568965517,2024-01-05T20:48:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,60.064102564,2024-01-05T09:24:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,60.064102564,2024-01-05T09:24:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,65.481481481,2024-01-05T20:48:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:Kettle,0,2024-01-09T12:00:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,10.403508772,2024-01-05T09:24:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,10.593137255,2024-01-05T20:48:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Lab:Printer,32.35483871,2024-01-05T09:24:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Mailroom:WaterDispenser,34.796296296,2024-01-05T09:24:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Mailroom:WaterDispenser,34.796296296,2024-01-05T09:24:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Mailroom:WaterDispenser,28.70754717,2024-01-05T20:48:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,6.568965517,2024-01-05T20:48:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,6.568965517,2024-01-05T20:48:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,6.341666667,2024-01-06T08:12:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,65.481481481,2024-01-05T20:48:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,65.481481481,2024-01-05T20:48:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,77.295454545,2024-01-06T08:12:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:Kettle,0,2024-01-09T12:00:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,10.593137255,2024-01-05T20:48:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,10.399159664,2024-01-06T08:12:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Lab:Desktop,0,2024-01-04T10:36:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Lab:Desktop,0,2024-01-04T10:36:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Lab:Desktop,634,2024-01-06T08:12:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Lab:Printer,32.35483871,2024-01-05T09:24:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Lab:Printer,32.9375,2024-01-06T08:12:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Mailroom:WaterDispenser,28.70754717,2024-01-05T20:48:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Mailroom:WaterDispenser,28.70754717,2024-01-05T20:48:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Mailroom:WaterDispenser,29.981308411,2024-01-06T08:12:00.000Z,VA
