entity_id,activePower,observedAt,unit
urn:ngsi-ld:EnergyDevice:Mailroom:WaterDispenser,51.296296296,2024-01-06T19:36:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,0.470588235,2024-01-07T07:00:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,0.470588235,2024-01-07T07:00:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,0.470588235,2024-01-07T07:00:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,52.631578947,2024-01-07T07:00:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,52.631578947,2024-01-07T07:00:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,52.631578947,2024-01-07T07:00:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:Kettle,0,2024-01-09T12:00:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,1.5,2024-01-07T07:00:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,1.5,2024-01-07T07:00:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,1.5,2024-01-07T07:00:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Lab:Desktop,855,2024-01-07T07:00:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Lab:Desktop,855,2024-01-07T07:00:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Lab:Printer,12.111111111,2024-01-07T07:00:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Lab:Printer,12.111111111,2024-01-07T07:00:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Lab:Printer,12.111111111,2024-01-07T07:00:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Mailroom:WaterDispenser,40.580645161,2024-01-07T07:00:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Mailroom:WaterDispenser,40.580645161,2024-01-07T07:00:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Mailroom:WaterDispenser,40.580645161,2024-01-07T07:00:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,0.5,2024-01-07T18:24:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,0.5,2024-01-07T18:24:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,0.5,2024-01-07T18:24:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,48.666666667,2024-01-07T18:24:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,48.666666667,2024-01-07T18:24:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:Kettle,0,2024-01-09T12:00:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,1.5,2024-01-07T07:00:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,1.5,2024-01-07T07:00:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Lab:Desktop,855,2024-01-07T07:00:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Lab:Printer,12.129032258,2024-01-07T18:24:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Lab:Printer,12.129032258,2024-01-07T18:24:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Mailroom:WaterDispenser,40.310344828,2024-01-07T18:24:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Mailroom:WaterDispenser,40.310344828,2024-01-07T18:24:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Mailroom:WaterDispenser,40.310344828,2024-01-07T18:24:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,182.55,2024-01-08T05:48:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,182.55,2024-01-08T05:48:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,182.55,2024-01-08T05:48:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,71.597560976,2024-01-08T05:48:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,71.597560976,2024-01-08T05:48:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,71.597560976,2024-01-08T05:48:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:Kettle,0,2024-01-09T12:00:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,8.917808219,2024-01-08T05:48:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,8.917808219,2024-01-08T05:48:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,8.917808219,2024-01-08T05:48:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Lab:Desktop,23,2024-01-08T05:48:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Lab:Desktop,23,2024-01-08T05:48:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Lab:Desktop,23,2024-01-08T05:48:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Lab:Printer,69.018518519,2024-01-08T05:48:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Lab:Printer,69.018518519,2024-01-08T05:48:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Mailroom:WaterDispenser,55.235294118,2024-01-08T05:48:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Mailroom:WaterDispenser,55.235294118,2024-01-08T05:48:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Mailroom:WaterDispenser,55.235294118,2024-01-08T05:48:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,0.230769231,2024-01-08T17:12:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,0.230769231,2024-01-08T17:12:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,0.230769231,2024-01-08T17:12:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,58.855263158,2024-01-08T17:12:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,58.855263158,2024-01-08T17:12:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,58.855263158,2024-01-08T17:12:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:Kettle,0,2024-01-09T12:00:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,1.5,2024-01-08T17:12:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,1.5,2024-01-08T17:12:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Lab:Desktop,23,2024-01-08T05:48:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Lab:Printer,11.926315789,2024-01-08T17:12:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Lab:Printer,11.926315789,2024-01-08T17:12:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Lab:Printer,11.926315789,2024-01-08T17:12:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Mailroom:WaterDispenser,39.916666667,2024-01-08T17:12:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Mailroom:WaterDispenser,39.916666667,2024-01-08T17:12:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,85.106382979,2024-01-09T04:36:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,85.106382979,2024-01-09T04:36:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,85.106382979,2024-01-09T04:36:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,70.43373494,2024-01-09T04:36:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,70.43373494,2024-01-09T04:36:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,70.43373494,2024-01-09T04:36:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:Kettle,0,2024-01-09T12:00:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,1.4,2024-01-09T04:36:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,1.4,2024-01-09T04:36:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Lab:Desktop,23,2024-01-08T05:48:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Lab:Printer,22.252427184,2024-01-09T04:36:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Lab:Printer,22.252427184,2024-01-09T04:36:00.000Z,WTT
