"time","%.mean_value"
"2024-03-07T03:24:00.000+04:00","66.93903743315508"
"2024-03-07T14:48:00.000+04:00","65.77323943661972"
"2024-03-08T02:12:00.000+04:00","66.62237762237763"
"2024-03-08T13:36:00.000+04:00","69.3418181818182"
"2024-03-09T01:00:00.000+04:00","76.32987012987013"
"2024-03-09T12:24:00.000+04:00","76.18540925266906"
"2024-03-09T23:48:00.000+04:00","74.70878378378379"
"2024-03-10T11:12:00.000+04:00","72.85401785714285"
"2024-03-10T22:36:00.000+04:00","75.78800000000001"
"2024-03-11T10:00:00.000+04:00","64.8859574468085"
"2024-03-11T21:24:00.000+04:00","68.87191780821917"
"2024-03-12T08:48:00.000+04:00","67.66529680365295"
"2024-03-12T20:12:00.000+04:00","66.59379844961238"
"2024-03-13T07:36:00.000+04:00","62.60530973451327"
"2024-03-13T19:00:00.000+04:00","77.50909090909092"
"2024-03-14T06:24:00.000+04:00","59.76487341772153"
"2024-03-14T17:48:00.000+04:00","71.77634408602152"
"2024-03-15T05:12:00.000+04:00","68.94560669456067"
"2024-03-15T16:36:00.000+04:00","65.33278688524587"
"2024-03-16T04:00:00.000+04:00","72.00897435897437"
"2024-03-16T15:24:00.000+04:00","68.01161290322581"
"2024-03-17T02:48:00.000+04:00","62.78513513513514"
"2024-03-17T14:12:00.000+04:00","64.56172248803827"
"2024-03-18T01:36:00.000+04:00","62.68825757575759"
"2024-03-18T13:00:00.000+04:00","65.28992248062015"
"2024-03-19T00:24:00.000+04:00","75.80816326530613"
"2024-03-19T11:48:00.000+04:00","68.55739644970417"
"2024-03-19T23:12:00.000+04:00","74.45647058823529"
"2024-03-20T10:36:00.000+04:00","60.94678362573098"
"2024-03-20T22:00:00.000+04:00","78.97772277227723"
"2024-03-21T09:24:00.000+04:00","68.42380952380952"
"2024-03-21T20:48:00.000+04:00","72.4884892086331"
"2024-03-22T08:12:00.000+04:00","76.1110701107011"
"2024-03-22T19:36:00.000+04:00","80.59658536585367"
"2024-03-23T07:00:00.000+04:00","75.81901408450702"
"2024-03-23T18:24:00.000+04:00","73.2904347826087"
"2024-03-24T05:48:00.000+04:00","72.55707762557076"
