"time","W.mean_value"
"2024-04-26T11:48:00.000+04:00",
"2024-04-26T23:12:00.000+04:00",
"2024-04-27T10:36:00.000+04:00",
"2024-04-27T22:00:00.000+04:00",
"2024-04-28T09:24:00.000+04:00",
"2024-04-28T20:48:00.000+04:00",
"2024-04-29T08:12:00.000+04:00","1360.625"
"2024-04-29T19:36:00.000+04:00",
"2024-04-30T07:00:00.000+04:00","890.625"
"2024-04-30T18:24:00.000+04:00",
"2024-05-01T05:48:00.000+04:00","891.75"
"2024-05-01T17:12:00.000+04:00",
"2024-05-02T04:36:00.000+04:00",
"2024-05-02T16:00:00.000+04:00",
"2024-05-03T03:24:00.000+04:00",
"2024-05-03T14:48:00.000+04:00",
"2024-05-04T02:12:00.000+04:00","0.5"
"2024-05-04T13:36:00.000+04:00","1817.5"
"2024-05-05T01:00:00.000+04:00",
"2024-05-05T12:24:00.000+04:00","1752"
"2024-05-05T23:48:00.000+04:00","1798.25"
"2024-05-06T11:12:00.000+04:00","1769.4"
"2024-05-06T22:36:00.000+04:00","1823.5"
"2024-05-07T10:00:00.000+04:00","1478.9166666666667"
"2024-05-07T21:24:00.000+04:00",
"2024-05-08T08:48:00.000+04:00","1780.6666666666667"
"2024-05-08T20:12:00.000+04:00","3578"
"2024-05-09T07:36:00.000+04:00","1095.6153846153845"
"2024-05-09T19:00:00.000+04:00",
"2024-05-10T06:24:00.000+04:00",
"2024-05-10T17:48:00.000+04:00",
"2024-05-11T05:12:00.000+04:00","1738"
"2024-05-11T16:36:00.000+04:00","1800"
"2024-05-12T04:00:00.000+04:00","1766.5"
"2024-05-12T15:24:00.000+04:00","1774"
"2024-05-13T02:48:00.000+04:00","1726"
"2024-05-13T14:12:00.000+04:00",
"2024-05-14T01:36:00.000+04:00","1151.6666666666667"
"2024-05-14T13:00:00.000+04:00","1107.6666666666667"
"2024-05-15T00:24:00.000+04:00","1144.4166666666667"
"2024-05-15T11:48:00.000+04:00","1686.75"
"2024-05-15T23:12:00.000+04:00","2005.857142857143"
"2024-05-16T10:36:00.000+04:00","1287"
"2024-05-16T22:00:00.000+04:00",
"2024-05-17T09:24:00.000+04:00",
"2024-05-17T20:48:00.000+04:00",
"2024-05-18T08:12:00.000+04:00",
"2024-05-18T19:36:00.000+04:00",
"2024-05-19T07:00:00.000+04:00","0"
"2024-05-19T18:24:00.000+04:00",
"2024-05-20T05:48:00.000+04:00","1167.8333333333333"
"2024-05-20T17:12:00.000+04:00",
"2024-05-21T04:36:00.000+04:00","1438.6818181818182"
"2024-05-21T16:00:00.000+04:00",
"2024-05-22T03:24:00.000+04:00","1578.2727272727273"
"2024-05-22T14:48:00.000+04:00","2231"
"2024-05-23T02:12:00.000+04:00","1474.1666666666667"
"2024-05-23T13:36:00.000+04:00","1724"
"2024-05-24T01:00:00.000+04:00","1755.5"
"2024-05-24T12:24:00.000+04:00",
"2024-05-24T23:48:00.000+04:00",
"2024-05-25T11:12:00.000+04:00","2009.2"
"2024-05-25T22:36:00.000+04:00",
"2024-05-26T10:00:00.000+04:00",
"2024-05-26T21:24:00.000+04:00","1734.5"
"2024-05-27T08:48:00.000+04:00","1846.4545454545455"
"2024-05-27T20:12:00.000+04:00",
"2024-05-28T07:36:00.000+04:00","1415.357142857143"
"2024-05-28T19:00:00.000+04:00",
"2024-05-29T06:24:00.000+04:00","1298.9375"
"2024-05-29T17:48:00.000+04:00","0"
"2024-05-30T05:12:00.000+04:00","1470.5714285714287"
"2024-05-30T16:36:00.000+04:00",
"2024-05-31T04:00:00.000+04:00","1122.1666666666667"
"2024-05-31T15:24:00.000+04:00",
"2024-06-01T02:48:00.000+04:00","0.5"
"2024-06-01T14:12:00.000+04:00",
"2024-06-02T01:36:00.000+04:00",
"2024-06-02T13:00:00.000+04:00",
"2024-06-03T00:24:00.000+04:00","1660.2"
"2024-06-03T11:48:00.000+04:00","1638.5"
"2024-06-03T23:12:00.000+04:00","1572.6666666666667"
"2024-06-04T10:36:00.000+04:00","1691.7857142857142"
"2024-06-04T22:00:00.000+04:00","3"
"2024-06-05T09:24:00.000+04:00","1695.8"
"2024-06-05T20:48:00.000+04:00","1790.75"
"2024-06-06T08:12:00.000+04:00","1530.6666666666667"
"2024-06-06T19:36:00.000+04:00",
"2024-06-07T07:00:00.000+04:00",
"2024-06-07T18:24:00.000+04:00",
"2024-06-08T05:48:00.000+04:00","0"
"2024-06-08T17:12:00.000+04:00",
"2024-06-09T04:36:00.000+04:00","1710"
"2024-06-09T16:00:00.000+04:00",
"2024-06-10T03:24:00.000+04:00","1504.857142857143"
"2024-06-10T14:48:00.000+04:00","22.75"
"2024-06-11T02:12:00.000+04:00","1315.25"
"2024-06-11T13:36:00.000+04:00","1740.625"
"2024-06-12T01:00:00.000+04:00","1283.090909090909"
"2024-06-12T12:24:00.000+04:00","701"
"2024-06-12T23:48:00.000+04:00","1775.8333333333333"
"2024-06-13T11:12:00.000+04:00",
"2024-06-13T22:36:00.000+04:00",
"2024-06-14T10:00:00.000+04:00",
"2024-06-14T21:24:00.000+04:00","0"
"2024-06-15T08:48:00.000+04:00",
"2024-06-15T20:12:00.000+04:00",
"2024-06-16T07:36:00.000+04:00",
"2024-06-16T19:00:00.000+04:00","0"
"2024-06-17T06:24:00.000+04:00",
"2024-06-17T17:48:00.000+04:00",
"2024-06-18T05:12:00.000+04:00",
"2024-06-18T16:36:00.000+04:00","0"
"2024-06-19T04:00:00.000+04:00","1768.8333333333333"
"2024-06-19T15:24:00.000+04:00","0.5"
"2024-06-20T02:48:00.000+04:00","1758.5"
"2024-06-20T14:12:00.000+04:00",
